Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
RETURN_VALS;0;4;292.0;0;165.0;0;1;0;0;0;0;0.3620309050772627;0.3610503282275711;org.junit.runners.Parameterized;100;3;
NEGATE_CONDITIONALS;0;2;147.0;0;49.0;0;0;1;0;0;0;0.25257731958762886;0.25;org.junit.runners.Parameterized;100;1;
RETURN_VALS;0;3;294.0;0;166.0;0;1;0;0;0;0;0.3610503282275711;0.36086956521739133;org.junit.runners.model.RunnerBuilder;100;2;
NEGATE_CONDITIONALS;0;2;149.0;0;49.0;0;0;0;0;0;0;0.25;0.2474747474747475;org.junit.runners.model.RunnerBuilder;100;2;
NEGATE_CONDITIONALS;0;1;150.0;0;49.0;0;0;0;0;0;0;0.2474747474747475;0.24623115577889448;org.junit.runner.notification.RunNotifier;100;1;
RETURN_VALS;0;1;295.0;0;166.0;0;0;0;0;0;0;0.36086956521739133;0.3600867678958785;org.junit.runner.manipulation.Sorter;100;1;
NEGATE_CONDITIONALS;0;1;151.0;0;49.0;0;0;0;0;0;0;0.24623115577889448;0.245;org.junit.runner.manipulation.Sorter;100;1;
RETURN_VALS;0;1;296.0;0;166.0;0;0;0;0;0;0;0.3600867678958785;0.3593073593073593;org.junit.rules.RunRules;100;1;
CONDITIONALS_BOUNDARY;0;3;34.0;0;18.0;0;0;0;0;0;0;0.3673469387755102;0.34615384615384615;org.junit.runners.model.TestClass;100;3;
INCREMENTS;0;2;27.0;0;16.0;0;0;0;0;0;0;0.3902439024390244;0.37209302325581395;org.junit.runners.model.TestClass;100;2;
RETURN_VALS;0;10;305.0;0;167.0;0;1;0;0;0;0;0.3593073593073593;0.3538135593220339;org.junit.runners.model.TestClass;100;9;
NEGATE_CONDITIONALS;0;6;156.0;0;50.0;0;1;0;0;0;0;0.245;0.24271844660194175;org.junit.runners.model.TestClass;100;5;
RETURN_VALS;0;1;306.0;0;167.0;0;0;0;0;0;0;0.3538135593220339;0.35306553911205074;org.junit.rules.TestWatcher;100;1;
RETURN_VALS;0;2;307.0;0;168.0;0;1;0;0;0;0;0.35306553911205074;0.35368421052631577;org.junit.ComparisonFailure;100;1;
RETURN_VALS;0;1;308.0;0;168.0;0;0;0;0;0;0;0.35368421052631577;0.35294117647058826;org.junit.runners.model.InitializationError;100;1;
RETURN_VALS;0;1;309.0;0;168.0;0;0;0;0;0;0;0.35294117647058826;0.3522012578616352;org.junit.runners.model.MultipleFailureException;100;1;
NEGATE_CONDITIONALS;0;1;157.0;0;50.0;0;0;0;0;0;0;0.24271844660194175;0.24154589371980675;org.junit.runners.model.MultipleFailureException;100;1;
RETURN_VALS;0;4;309.0;0;172.0;0;4;0;0;0;0;0.3522012578616352;0.3575883575883576;org.junit.rules.Timeout;100;0;
RETURN_VALS;0;1;310.0;0;172.0;0;0;0;0;0;0;0.3575883575883576;0.35684647302904565;org.junit.rules.Verifier;100;1;
RETURN_VALS;0;2;312.0;0;172.0;0;0;0;0;0;0;0.35684647302904565;0.35537190082644626;org.junit.rules.ErrorCollector;100;2;
RETURN_VALS;0;2;313.0;0;173.0;0;1;0;0;0;0;0.35537190082644626;0.3559670781893004;unknown;100;1;
NEGATE_CONDITIONALS;0;2;158.0;0;51.0;0;1;0;0;0;0;0.24154589371980675;0.24401913875598086;org.junit.Assume;100;1;
CONDITIONALS_BOUNDARY;0;1;34.0;0;19.0;1;0;0;0;0;0;0.34615384615384615;0.3584905660377358;org.junit.Assert;100;0;
RETURN_VALS;0;3;316.0;0;173.0;0;0;0;0;0;0;0.3559670781893004;0.3537832310838446;org.junit.Assert;100;3;
MATH;0;1;16.0;0;15.0;0;0;0;0;0;0;0.5;0.4838709677419355;org.junit.Assert;100;1;
NEGATE_CONDITIONALS;0;9;167.0;0;51.0;0;0;0;0;0;0;0.24401913875598086;0.23394495412844038;org.junit.Assert;100;9;
NEGATE_CONDITIONALS;0;1;167.0;0;52.0;1;0;0;0;0;0;0.23394495412844038;0.2374429223744292;org.junit.validator.AnnotationsValidator;100;0;
RETURN_VALS;0;1;316.0;0;174.0;0;1;0;0;0;0;0.3537832310838446;0.3551020408163265;org.junit.validator.AnnotationValidator;100;0;
RETURN_VALS;0;1;317.0;0;174.0;0;0;0;0;0;0;0.3551020408163265;0.3543788187372709;org.junit.validator.AnnotationValidatorFactory;100;1;
RETURN_VALS;0;8;324.0;0;175.0;1;0;0;0;0;0;0.3543788187372709;0.35070140280561124;org.junit.runners.BlockJUnit4ClassRunner;100;7;
NEGATE_CONDITIONALS;0;9;176.0;0;52.0;0;0;0;0;0;0;0.2374429223744292;0.22807017543859648;org.junit.runners.BlockJUnit4ClassRunner;100;9;
RETURN_VALS;0;4;328.0;0;175.0;0;0;0;0;0;0;0.35070140280561124;0.34791252485089463;org.junit.runners.Parameterized;100;4;
NEGATE_CONDITIONALS;0;2;178.0;0;52.0;0;0;0;0;0;0;0.22807017543859648;0.22608695652173913;org.junit.runners.Parameterized;100;2;
RETURN_VALS;0;7;335.0;0;175.0;0;0;0;0;0;0;0.34791252485089463;0.3431372549019608;org.junit.runners.ParentRunner;100;7;
NEGATE_CONDITIONALS;0;8;186.0;0;52.0;0;0;0;0;0;0;0.22608695652173913;0.2184873949579832;org.junit.runners.ParentRunner;100;8;
RETURN_VALS;0;3;337.0;0;176.0;0;1;0;0;0;0;0.3431372549019608;0.34307992202729043;org.junit.runners.Suite;100;2;
RETURN_VALS;0;2;339.0;0;176.0;0;0;0;0;0;0;0.34307992202729043;0.341747572815534;org.junit.runner.FilterFactories;100;2;
INCREMENTS;0;2;29.0;0;16.0;0;0;0;0;0;0;0.37209302325581395;0.35555555555555557;org.junit.runner.JUnitCommandLineParseResult;100;2;
RETURN_VALS;0;5;344.0;0;176.0;0;0;0;0;0;0;0.341747572815534;0.3384615384615385;org.junit.runner.JUnitCommandLineParseResult;100;5;
MATH;0;2;18.0;0;15.0;0;0;0;0;0;0;0.4838709677419355;0.45454545454545453;org.junit.runner.JUnitCommandLineParseResult;100;2;
NEGATE_CONDITIONALS;0;5;191.0;0;52.0;0;0;0;0;0;0;0.2184873949579832;0.2139917695473251;org.junit.runner.JUnitCommandLineParseResult;100;5;
RETURN_VALS;0;4;348.0;0;176.0;0;0;0;0;0;0;0.3384615384615385;0.33587786259541985;org.junit.runner.JUnitCore;100;4;
INCREMENTS;0;1;29.0;0;17.0;0;1;0;0;0;0;0.35555555555555557;0.3695652173913043;org.junit.runner.Description;100;0;
RETURN_VALS;0;9;348.0;0;185.0;0;9;0;0;0;0;0.33587786259541985;0.34709193245778613;org.junit.runner.Description;100;0;
NEGATE_CONDITIONALS;0;5;191.0;0;57.0;0;5;0;0;0;0;0.2139917695473251;0.22983870967741934;org.junit.runner.Description;100;0;
RETURN_VALS;0;6;354.0;0;185.0;0;0;0;0;0;0;0.34709193245778613;0.3432282003710575;org.junit.runner.Request;100;6;
RETURN_VALS;0;4;358.0;0;185.0;0;0;0;0;0;0;0.3432282003710575;0.3406998158379374;org.junit.runner.Result;100;4;
RETURN_VALS;0;2;359.0;0;186.0;1;0;0;0;0;0;0.3406998158379374;0.3412844036697248;org.junit.rules.DisableOnDebug;100;1;
RETURN_VALS;0;2;361.0;0;186.0;0;0;0;0;0;0;0.3412844036697248;0.340036563071298;org.junit.rules.ErrorCollector;100;2;
RETURN_VALS;0;4;364.0;0;187.0;0;1;0;0;0;0;0.340036563071298;0.3393829401088929;org.junit.rules.ExpectedException;100;3;
RETURN_VALS;0;1;365.0;0;187.0;0;0;0;0;0;0;0.3393829401088929;0.338768115942029;org.junit.rules.ExpectedExceptionMatcherBuilder;100;1;
RETURN_VALS;0;2;367.0;0;187.0;0;0;0;0;0;0;0.338768115942029;0.33754512635379064;org.junit.rules.RuleChain;100;2;
RETURN_VALS;0;1;368.0;0;187.0;0;0;0;0;0;0;0.33754512635379064;0.33693693693693694;org.junit.rules.RunRules;100;1;
NEGATE_CONDITIONALS;0;1;192.0;0;57.0;0;0;0;0;0;0;0.22983870967741934;0.2289156626506024;org.junit.rules.RunRules;100;1;
RETURN_VALS;0;3;370.0;0;188.0;1;0;0;0;0;0;0.33693693693693694;0.33691756272401435;org.junit.rules.Stopwatch;100;2;
MATH;0;1;19.0;0;15.0;0;0;0;0;0;0;0.45454545454545453;0.4411764705882353;org.junit.rules.Stopwatch;100;1;
INCREMENTS;0;2;31.0;0;17.0;0;0;0;0;0;0;0.3695652173913043;0.3541666666666667;org.junit.rules.TemporaryFolder;100;2;
CONDITIONALS_BOUNDARY;0;1;35.0;0;19.0;0;0;0;0;0;0;0.3584905660377358;0.35185185185185186;org.junit.rules.TemporaryFolder;100;1;
RETURN_VALS;0;3;373.0;0;188.0;0;0;0;0;0;0;0.33691756272401435;0.33511586452762926;org.junit.rules.TemporaryFolder;100;3;
NEGATE_CONDITIONALS;0;3;195.0;0;57.0;0;0;0;0;0;0;0.2289156626506024;0.2261904761904762;org.junit.rules.TemporaryFolder;100;3;
RETURN_VALS;0;1;374.0;0;188.0;0;0;0;0;0;0;0.33511586452762926;0.33451957295373663;org.junit.rules.TestWatchman;100;1;
RETURN_VALS;0;2;376.0;0;188.0;0;0;0;0;1;0;0.33451957295373663;0.3333333333333333;org.junit.rules.Timeout;100;1;
RETURN_VALS;0;1;377.0;0;188.0;0;0;0;0;0;0;0.3333333333333333;0.3327433628318584;org.junit.rules.Verifier;100;1;
INCREMENTS;0;1;32.0;0;17.0;0;0;0;0;0;0;0.3541666666666667;0.3469387755102041;org.junit.internal.ComparisonCriteria;100;1;
RETURN_VALS;0;1;378.0;0;188.0;0;0;0;0;0;0;0.3327433628318584;0.3321554770318021;org.junit.internal.ComparisonCriteria;100;1;
NEGATE_CONDITIONALS;0;2;197.0;0;57.0;0;0;0;0;0;0;0.2261904761904762;0.22440944881889763;org.junit.internal.ComparisonCriteria;100;2;
RETURN_VALS;0;1;379.0;0;188.0;0;0;0;0;0;0;0.3321554770318021;0.3315696649029982;org.junit.internal.Classes;100;1;
NEGATE_CONDITIONALS;0;2;199.0;0;57.0;0;0;0;0;0;0;0.22440944881889763;0.22265625;org.junit.internal.AssumptionViolatedException;100;2;
RETURN_VALS;0;1;380.0;0;188.0;0;0;0;0;0;0;0.3315696649029982;0.33098591549295775;org.junit.internal.MethodSorter;100;1;
NEGATE_CONDITIONALS;0;1;200.0;0;57.0;0;0;0;0;0;0;0.22265625;0.22178988326848248;org.junit.internal.MethodSorter;100;1;
RETURN_VALS;0;1;381.0;0;188.0;0;0;0;0;0;0;0.33098591549295775;0.3304042179261863;org.junit.internal.RealSystem;100;1;
RETURN_VALS;0;1;381.0;0;189.0;0;1;0;0;0;0;0.3304042179261863;0.33157894736842103;org.junit.internal.ArrayComparisonFailure;100;0;
NEGATE_CONDITIONALS;0;1;201.0;0;57.0;0;0;0;0;0;0;0.22178988326848248;0.22093023255813954;org.junit.internal.ArrayComparisonFailure;100;1;
RETURN_VALS;0;2;382.0;0;190.0;1;0;0;0;0;0;0.33157894736842103;0.3321678321678322;org.junit.internal.TextListener;100;1;
MATH;0;1;19.0;0;16.0;1;0;0;0;0;0;0.4411764705882353;0.45714285714285713;org.junit.internal.TextListener;100;0;
NEGATE_CONDITIONALS;0;2;203.0;0;57.0;0;0;0;0;0;0;0.22093023255813954;0.21923076923076923;org.junit.internal.TextListener;100;2;
RETURN_VALS;0;1;382.0;0;191.0;1;0;0;0;0;0;0.3321678321678322;0.3333333333333333;org.junit.internal.Throwables;100;0;
